id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_kasus,satuan,tahun
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,263,ORANG,2021
81,32,JAWA BARAT,3279,KOTA BANJAR,1,ORANG,2021
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,3917,ORANG,2022
83,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,1764,ORANG,2022
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,2347,ORANG,2022
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,3266,ORANG,2022
86,32,JAWA BARAT,3205,KABUPATEN GARUT,2374,ORANG,2022
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,346,ORANG,2022
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,700,ORANG,2022
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,297,ORANG,2022
90,32,JAWA BARAT,3209,KABUPATEN CIREBON,1039,ORANG,2022
91,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,830,ORANG,2022
92,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,600,ORANG,2022
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,665,ORANG,2022
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,1631,ORANG,2022
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,1734,ORANG,2022
96,32,JAWA BARAT,3215,KABUPATEN KARAWANG,1660,ORANG,2022
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,1590,ORANG,2022
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,541,ORANG,2022
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,170,ORANG,2022
100,32,JAWA BARAT,3271,KOTA BOGOR,1464,ORANG,2022
101,32,JAWA BARAT,3272,KOTA SUKABUMI,420,ORANG,2022
102,32,JAWA BARAT,3273,KOTA BANDUNG,5257,ORANG,2022
103,32,JAWA BARAT,3274,KOTA CIREBON,915,ORANG,2022
104,32,JAWA BARAT,3275,KOTA BEKASI,2043,ORANG,2022
105,32,JAWA BARAT,3276,KOTA DEPOK,1502,ORANG,2022
