id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_kelamin,jumlah_kasus,satuan,tahun
61,32,JAWA BARAT,3204,KABUPATEN BANDUNG,LAKI-LAKI,1012,ORANG,2020
62,32,JAWA BARAT,3204,KABUPATEN BANDUNG,PEREMPUAN,846,ORANG,2020
63,32,JAWA BARAT,3205,KABUPATEN GARUT,LAKI-LAKI,1076,ORANG,2020
64,32,JAWA BARAT,3205,KABUPATEN GARUT,PEREMPUAN,869,ORANG,2020
65,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,LAKI-LAKI,750,ORANG,2020
66,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PEREMPUAN,523,ORANG,2020
67,32,JAWA BARAT,3207,KABUPATEN CIAMIS,LAKI-LAKI,335,ORANG,2020
68,32,JAWA BARAT,3207,KABUPATEN CIAMIS,PEREMPUAN,245,ORANG,2020
69,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,LAKI-LAKI,535,ORANG,2020
70,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,PEREMPUAN,309,ORANG,2020
71,32,JAWA BARAT,3209,KABUPATEN CIREBON,LAKI-LAKI,1395,ORANG,2020
72,32,JAWA BARAT,3209,KABUPATEN CIREBON,PEREMPUAN,903,ORANG,2020
73,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,LAKI-LAKI,628,ORANG,2020
74,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PEREMPUAN,477,ORANG,2020
75,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,LAKI-LAKI,305,ORANG,2020
76,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,PEREMPUAN,247,ORANG,2020
77,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,LAKI-LAKI,346,ORANG,2020
78,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PEREMPUAN,217,ORANG,2020
79,32,JAWA BARAT,3213,KABUPATEN SUBANG,LAKI-LAKI,445,ORANG,2020
80,32,JAWA BARAT,3213,KABUPATEN SUBANG,PEREMPUAN,280,ORANG,2020
81,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,LAKI-LAKI,311,ORANG,2020
82,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,PEREMPUAN,260,ORANG,2020
83,32,JAWA BARAT,3215,KABUPATEN KARAWANG,LAKI-LAKI,1135,ORANG,2020
84,32,JAWA BARAT,3215,KABUPATEN KARAWANG,PEREMPUAN,714,ORANG,2020
85,32,JAWA BARAT,3216,KABUPATEN BEKASI,LAKI-LAKI,728,ORANG,2020
86,32,JAWA BARAT,3216,KABUPATEN BEKASI,PEREMPUAN,497,ORANG,2020
87,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,LAKI-LAKI,451,ORANG,2020
88,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,PEREMPUAN,386,ORANG,2020
89,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,LAKI-LAKI,120,ORANG,2020
90,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,PEREMPUAN,80,ORANG,2020
91,32,JAWA BARAT,3271,KOTA BOGOR,LAKI-LAKI,527,ORANG,2020
92,32,JAWA BARAT,3271,KOTA BOGOR,PEREMPUAN,381,ORANG,2020
93,32,JAWA BARAT,3272,KOTA SUKABUMI,LAKI-LAKI,302,ORANG,2020
94,32,JAWA BARAT,3272,KOTA SUKABUMI,PEREMPUAN,191,ORANG,2020
95,32,JAWA BARAT,3273,KOTA BANDUNG,LAKI-LAKI,969,ORANG,2020
96,32,JAWA BARAT,3273,KOTA BANDUNG,PEREMPUAN,895,ORANG,2020
97,32,JAWA BARAT,3274,KOTA CIREBON,LAKI-LAKI,347,ORANG,2020
