id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_kasus,satuan,tahun
68,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,1270,ORANG,2018
69,32,JAWA BARAT,3215,KABUPATEN KARAWANG,2075,ORANG,2018
70,32,JAWA BARAT,3216,KABUPATEN BEKASI,2418,ORANG,2018
71,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1597,ORANG,2018
72,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,380,ORANG,2018
73,32,JAWA BARAT,3271,KOTA BOGOR,1857,ORANG,2018
74,32,JAWA BARAT,3272,KOTA SUKABUMI,1535,ORANG,2018
75,32,JAWA BARAT,3273,KOTA BANDUNG,2304,ORANG,2018
76,32,JAWA BARAT,3274,KOTA CIREBON,1352,ORANG,2018
77,32,JAWA BARAT,3275,KOTA BEKASI,5627,ORANG,2018
78,32,JAWA BARAT,3276,KOTA DEPOK,3799,ORANG,2018
79,32,JAWA BARAT,3277,KOTA CIMAHI,2110,ORANG,2018
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,946,ORANG,2018
81,32,JAWA BARAT,3279,KOTA BANJAR,597,ORANG,2018
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,15566,ORANG,2019
83,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,6065,ORANG,2019
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,5075,ORANG,2019
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,7571,ORANG,2019
86,32,JAWA BARAT,3205,KABUPATEN GARUT,3566,ORANG,2019
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,2450,ORANG,2019
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,1484,ORANG,2019
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,2420,ORANG,2019
90,32,JAWA BARAT,3209,KABUPATEN CIREBON,5329,ORANG,2019
91,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,2159,ORANG,2019
92,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,2090,ORANG,2019
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,2315,ORANG,2019
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,3242,ORANG,2019
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,2144,ORANG,2019
96,32,JAWA BARAT,3215,KABUPATEN KARAWANG,4843,ORANG,2019
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,4156,ORANG,2019
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,2125,ORANG,2019
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,318,ORANG,2019
100,32,JAWA BARAT,3271,KOTA BOGOR,3835,ORANG,2019
101,32,JAWA BARAT,3272,KOTA SUKABUMI,1820,ORANG,2019
102,32,JAWA BARAT,3273,KOTA BANDUNG,11959,ORANG,2019
103,32,JAWA BARAT,3274,KOTA CIREBON,1678,ORANG,2019
104,32,JAWA BARAT,3275,KOTA BEKASI,7717,ORANG,2019
105,32,JAWA BARAT,3276,KOTA DEPOK,4695,ORANG,2019
106,32,JAWA BARAT,3277,KOTA CIMAHI,2567,ORANG,2019
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,1434,ORANG,2019
108,32,JAWA BARAT,3279,KOTA BANJAR,840,ORANG,2019
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,10248,ORANG,2020
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3446,ORANG,2020
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,4168,ORANG,2020
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,6116,ORANG,2020
113,32,JAWA BARAT,3205,KABUPATEN GARUT,3647,ORANG,2020
114,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,1708,ORANG,2020
115,32,JAWA BARAT,3207,KABUPATEN CIAMIS,1434,ORANG,2020
116,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,1799,ORANG,2020
117,32,JAWA BARAT,3209,KABUPATEN CIREBON,3403,ORANG,2020
118,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1758,ORANG,2020
119,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,1304,ORANG,2020
120,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,1496,ORANG,2020
121,32,JAWA BARAT,3213,KABUPATEN SUBANG,3061,ORANG,2020
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,1736,ORANG,2020
123,32,JAWA BARAT,3215,KABUPATEN KARAWANG,3996,ORANG,2020
124,32,JAWA BARAT,3216,KABUPATEN BEKASI,4604,ORANG,2020
125,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1439,ORANG,2020
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,358,ORANG,2020
127,32,JAWA BARAT,3271,KOTA BOGOR,1896,ORANG,2020
128,32,JAWA BARAT,3272,KOTA SUKABUMI,1223,ORANG,2020
129,32,JAWA BARAT,3273,KOTA BANDUNG,8262,ORANG,2020
130,32,JAWA BARAT,3274,KOTA CIREBON,1202,ORANG,2020
131,32,JAWA BARAT,3275,KOTA BEKASI,5223,ORANG,2020
132,32,JAWA BARAT,3276,KOTA DEPOK,3311,ORANG,2020
133,32,JAWA BARAT,3277,KOTA CIMAHI,1719,ORANG,2020
134,32,JAWA BARAT,3278,KOTA TASIKMALAYA,963,ORANG,2020
135,32,JAWA BARAT,3279,KOTA BANJAR,320,ORANG,2020
136,32,JAWA BARAT,3201,KABUPATEN BOGOR,11946,ORANG,2021
137,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,4805,ORANG,2021
138,32,JAWA BARAT,3203,KABUPATEN CIANJUR,4673,ORANG,2021
139,32,JAWA BARAT,3204,KABUPATEN BANDUNG,5708,ORANG,2021
140,32,JAWA BARAT,3205,KABUPATEN GARUT,4786,ORANG,2021
141,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,1995,ORANG,2021
142,32,JAWA BARAT,3207,KABUPATEN CIAMIS,1606,ORANG,2021
143,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,1651,ORANG,2021
144,32,JAWA BARAT,3209,KABUPATEN CIREBON,3383,ORANG,2021
145,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1723,ORANG,2021
146,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,1372,ORANG,2021
147,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,1701,ORANG,2021
148,32,JAWA BARAT,3213,KABUPATEN SUBANG,2912,ORANG,2021
149,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,2410,ORANG,2021
150,32,JAWA BARAT,3215,KABUPATEN KARAWANG,4528,ORANG,2021
151,32,JAWA BARAT,3216,KABUPATEN BEKASI,4798,ORANG,2021
152,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1736,ORANG,2021
153,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,410,ORANG,2021
154,32,JAWA BARAT,3271,KOTA BOGOR,1440,ORANG,2021
155,32,JAWA BARAT,3272,KOTA SUKABUMI,1223,ORANG,2021
156,32,JAWA BARAT,3273,KOTA BANDUNG,8919,ORANG,2021
157,32,JAWA BARAT,3274,KOTA CIREBON,1910,ORANG,2021
158,32,JAWA BARAT,3275,KOTA BEKASI,6051,ORANG,2021
159,32,JAWA BARAT,3276,KOTA DEPOK,4042,ORANG,2021
160,32,JAWA BARAT,3277,KOTA CIMAHI,1782,ORANG,2021
161,32,JAWA BARAT,3278,KOTA TASIKMALAYA,1476,ORANG,2021
162,32,JAWA BARAT,3279,KOTA BANJAR,269,ORANG,2021
163,32,JAWA BARAT,3201,KABUPATEN BOGOR,21516,ORANG,2022
164,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,7491,ORANG,2022
165,32,JAWA BARAT,3203,KABUPATEN CIANJUR,7059,ORANG,2022
166,32,JAWA BARAT,3204,KABUPATEN BANDUNG,10650,ORANG,2022
167,32,JAWA BARAT,3205,KABUPATEN GARUT,7920,ORANG,2022
168,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,3110,ORANG,2022
169,32,JAWA BARAT,3207,KABUPATEN CIAMIS,2946,ORANG,2022
170,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,2441,ORANG,2022
171,32,JAWA BARAT,3209,KABUPATEN CIREBON,6981,ORANG,2022
172,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,3162,ORANG,2022
173,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,2501,ORANG,2022
174,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,2729,ORANG,2022
175,32,JAWA BARAT,3213,KABUPATEN SUBANG,4769,ORANG,2022
176,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,4589,ORANG,2022
177,32,JAWA BARAT,3215,KABUPATEN KARAWANG,8020,ORANG,2022
178,32,JAWA BARAT,3216,KABUPATEN BEKASI,8379,ORANG,2022
179,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,3043,ORANG,2022
180,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,734,ORANG,2022
181,32,JAWA BARAT,3271,KOTA BOGOR,7740,ORANG,2022
182,32,JAWA BARAT,3272,KOTA SUKABUMI,2383,ORANG,2022
183,32,JAWA BARAT,3273,KOTA BANDUNG,14541,ORANG,2022
184,32,JAWA BARAT,3274,KOTA CIREBON,2760,ORANG,2022
185,32,JAWA BARAT,3275,KOTA BEKASI,10747,ORANG,2022
