id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_kasus,satuan,tahun
78,32,JAWA BARAT,3276,KOTA DEPOK,12588,ORANG,2021
79,32,JAWA BARAT,3277,KOTA CIMAHI,6461,ORANG,2021
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,5092,ORANG,2021
81,32,JAWA BARAT,3279,KOTA BANJAR,2101,ORANG,2021
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,73699,ORANG,2022
83,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,24043,ORANG,2022
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,21993,ORANG,2022
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,46919,ORANG,2022
86,32,JAWA BARAT,3205,KABUPATEN GARUT,34606,ORANG,2022
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,19756,ORANG,2022
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,15932,ORANG,2022
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,12805,ORANG,2022
90,32,JAWA BARAT,3209,KABUPATEN CIREBON,31312,ORANG,2022
91,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,22148,ORANG,2022
92,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,12346,ORANG,2022
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,11860,ORANG,2022
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,22066,ORANG,2022
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,14187,ORANG,2022
96,32,JAWA BARAT,3215,KABUPATEN KARAWANG,26332,ORANG,2022
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,22957,ORANG,2022
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,19111,ORANG,2022
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,6231,ORANG,2022
100,32,JAWA BARAT,3271,KOTA BOGOR,24572,ORANG,2022
101,32,JAWA BARAT,3272,KOTA SUKABUMI,7475,ORANG,2022
102,32,JAWA BARAT,3273,KOTA BANDUNG,46792,ORANG,2022
103,32,JAWA BARAT,3274,KOTA CIREBON,12662,ORANG,2022
104,32,JAWA BARAT,3275,KOTA BEKASI,43020,ORANG,2022
105,32,JAWA BARAT,3276,KOTA DEPOK,26097,ORANG,2022
106,32,JAWA BARAT,3277,KOTA CIMAHI,13835,ORANG,2022
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,11454,ORANG,2022
108,32,JAWA BARAT,3279,KOTA BANJAR,3271,ORANG,2022
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,82014,ORANG,2023
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,28796,ORANG,2023
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,25841,ORANG,2023
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,40757,ORANG,2023
113,32,JAWA BARAT,3205,KABUPATEN GARUT,39108,ORANG,2023
114,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,19285,ORANG,2023
115,32,JAWA BARAT,3207,KABUPATEN CIAMIS,17399,ORANG,2023
116,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,15993,ORANG,2023
117,32,JAWA BARAT,3209,KABUPATEN CIREBON,33652,ORANG,2023
118,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,23479,ORANG,2023
119,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,15579,ORANG,2023
120,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,18476,ORANG,2023
121,32,JAWA BARAT,3213,KABUPATEN SUBANG,23406,ORANG,2023
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,18959,ORANG,2023
123,32,JAWA BARAT,3215,KABUPATEN KARAWANG,30339,ORANG,2023
124,32,JAWA BARAT,3216,KABUPATEN BEKASI,29536,ORANG,2023
125,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,17867,ORANG,2023
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,10167,ORANG,2023
127,32,JAWA BARAT,3271,KOTA BOGOR,28057,ORANG,2023
128,32,JAWA BARAT,3272,KOTA SUKABUMI,12689,ORANG,2023
129,32,JAWA BARAT,3273,KOTA BANDUNG,55139,ORANG,2023
130,32,JAWA BARAT,3274,KOTA CIREBON,14902,ORANG,2023
131,32,JAWA BARAT,3275,KOTA BEKASI,52856,ORANG,2023
132,32,JAWA BARAT,3276,KOTA DEPOK,28841,ORANG,2023
133,32,JAWA BARAT,3277,KOTA CIMAHI,14152,ORANG,2023
134,32,JAWA BARAT,3278,KOTA TASIKMALAYA,16616,ORANG,2023
135,32,JAWA BARAT,3279,KOTA BANJAR,4799,ORANG,2023
136,32,JAWA BARAT,3201,KABUPATEN BOGOR,84950,ORANG,2024
137,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,58668,ORANG,2024
138,32,JAWA BARAT,3203,KABUPATEN CIANJUR,32218,ORANG,2024
139,32,JAWA BARAT,3204,KABUPATEN BANDUNG,51043,ORANG,2024
140,32,JAWA BARAT,3205,KABUPATEN GARUT,48753,ORANG,2024
141,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,43159,ORANG,2024
142,32,JAWA BARAT,3207,KABUPATEN CIAMIS,26118,ORANG,2024
143,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,18880,ORANG,2024
144,32,JAWA BARAT,3209,KABUPATEN CIREBON,37998,ORANG,2024
145,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,25233,ORANG,2024
146,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,21806,ORANG,2024
147,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,30024,ORANG,2024
148,32,JAWA BARAT,3213,KABUPATEN SUBANG,27989,ORANG,2024
149,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,26267,ORANG,2024
150,32,JAWA BARAT,3215,KABUPATEN KARAWANG,37294,ORANG,2024
151,32,JAWA BARAT,3216,KABUPATEN BEKASI,34559,ORANG,2024
152,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,35293,ORANG,2024
153,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,14812,ORANG,2024
154,32,JAWA BARAT,3271,KOTA BOGOR,39646,ORANG,2024
155,32,JAWA BARAT,3272,KOTA SUKABUMI,10714,ORANG,2024
156,32,JAWA BARAT,3273,KOTA BANDUNG,62922,ORANG,2024
157,32,JAWA BARAT,3274,KOTA CIREBON,15028,ORANG,2024
158,32,JAWA BARAT,3275,KOTA BEKASI,55295,ORANG,2024
159,32,JAWA BARAT,3276,KOTA DEPOK,36402,ORANG,2024
160,32,JAWA BARAT,3277,KOTA CIMAHI,15058,ORANG,2024
161,32,JAWA BARAT,3278,KOTA TASIKMALAYA,16391,ORANG,2024
162,32,JAWA BARAT,3279,KOTA BANJAR,5036,ORANG,2024
