id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_kematian,satuan,tahun
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,23,ORANG,2021
81,32,JAWA BARAT,3279,KOTA BANJAR,6,ORANG,2021
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,267,ORANG,2022
83,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,31,ORANG,2022
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,73,ORANG,2022
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,147,ORANG,2022
86,32,JAWA BARAT,3205,KABUPATEN GARUT,108,ORANG,2022
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,114,ORANG,2022
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,58,ORANG,2022
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,72,ORANG,2022
90,32,JAWA BARAT,3209,KABUPATEN CIREBON,92,ORANG,2022
91,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,34,ORANG,2022
92,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,59,ORANG,2022
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,44,ORANG,2022
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,79,ORANG,2022
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,59,ORANG,2022
96,32,JAWA BARAT,3215,KABUPATEN KARAWANG,131,ORANG,2022
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,78,ORANG,2022
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,50,ORANG,2022
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,11,ORANG,2022
100,32,JAWA BARAT,3271,KOTA BOGOR,156,ORANG,2022
101,32,JAWA BARAT,3272,KOTA SUKABUMI,38,ORANG,2022
102,32,JAWA BARAT,3273,KOTA BANDUNG,305,ORANG,2022
103,32,JAWA BARAT,3274,KOTA CIREBON,61,ORANG,2022
104,32,JAWA BARAT,3275,KOTA BEKASI,114,ORANG,2022
105,32,JAWA BARAT,3276,KOTA DEPOK,123,ORANG,2022
106,32,JAWA BARAT,3277,KOTA CIMAHI,24,ORANG,2022
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,44,ORANG,2022
108,32,JAWA BARAT,3279,KOTA BANJAR,6,ORANG,2022
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,555,ORANG,2023
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,55,ORANG,2023
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,122,ORANG,2023
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,414,ORANG,2023
113,32,JAWA BARAT,3205,KABUPATEN GARUT,186,ORANG,2023
114,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,147,ORANG,2023
115,32,JAWA BARAT,3207,KABUPATEN CIAMIS,72,ORANG,2023
116,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,76,ORANG,2023
117,32,JAWA BARAT,3209,KABUPATEN CIREBON,154,ORANG,2023
118,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,60,ORANG,2023
119,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,83,ORANG,2023
120,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,105,ORANG,2023
121,32,JAWA BARAT,3213,KABUPATEN SUBANG,116,ORANG,2023
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,79,ORANG,2023
123,32,JAWA BARAT,3215,KABUPATEN KARAWANG,189,ORANG,2023
124,32,JAWA BARAT,3216,KABUPATEN BEKASI,128,ORANG,2023
125,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,73,ORANG,2023
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,34,ORANG,2023
127,32,JAWA BARAT,3271,KOTA BOGOR,270,ORANG,2023
128,32,JAWA BARAT,3272,KOTA SUKABUMI,61,ORANG,2023
129,32,JAWA BARAT,3273,KOTA BANDUNG,424,ORANG,2023
130,32,JAWA BARAT,3274,KOTA CIREBON,60,ORANG,2023
131,32,JAWA BARAT,3275,KOTA BEKASI,196,ORANG,2023
132,32,JAWA BARAT,3276,KOTA DEPOK,181,ORANG,2023
133,32,JAWA BARAT,3277,KOTA CIMAHI,38,ORANG,2023
134,32,JAWA BARAT,3278,KOTA TASIKMALAYA,80,ORANG,2023
135,32,JAWA BARAT,3279,KOTA BANJAR,21,ORANG,2023
136,32,JAWA BARAT,3201,KABUPATEN BOGOR,680,ORANG,2024
137,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,73,ORANG,2024
138,32,JAWA BARAT,3203,KABUPATEN CIANJUR,134,ORANG,2024
139,32,JAWA BARAT,3204,KABUPATEN BANDUNG,272,ORANG,2024
140,32,JAWA BARAT,3205,KABUPATEN GARUT,158,ORANG,2024
